Sta 1 -> 4 	   40 MHz	24.96368 Mbit/s	  +495023.0 		0 		22301 		+327824.0
Sta 2 -> 4 	   40 MHz	24.9592 Mbit/s	  +522526.0 		0 		22303 		+320976.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +510792.0 		0 		22297 		+325035.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +485938.0 		0 		22287 		+317905.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +533599.0 		0 		22307 		+330585.0
Sta 2 -> 4 	   40 MHz	24.92112 Mbit/s	  +493376.0 		0 		22275 		+319383.0
Sta 1 -> 4 	   40 MHz	24.93232 Mbit/s	  +492445.0 		0 		22282 		+320457.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +521663.0 		0 		22305 		+326951.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +546626.0 		0 		22293 		+338362.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +493873.0 		0 		22302 		+315773.0
Sta 1 -> 4 	   40 MHz	24.95584 Mbit/s	  +527718.0 		0 		22306 		+320321.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +501671.0 		0 		22311 		+329848.0
Sta 1 -> 4 	   40 MHz	24.97712 Mbit/s	  +477239.0 		0 		22304 		+316055.0
Sta 2 -> 4 	   40 MHz	24.92448 Mbit/s	  +515235.0 		0 		22265 		+325621.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +500618.0 		0 		22313 		+322092.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +473954.0 		0 		22299 		+314844.0
Sta 1 -> 4 	   40 MHz	24.94128 Mbit/s	  +553127.0 		0 		22286 		+338464.0
Sta 2 -> 4 	   40 MHz	24.95472 Mbit/s	  +499826.0 		0 		22283 		+319775.0
Sta 1 -> 4 	   40 MHz	24.9256 Mbit/s	  +485414.0 		0 		22282 		+314642.0
Sta 2 -> 4 	   40 MHz	24.96592 Mbit/s	  +522260.0 		0 		22296 		+330427.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +507530.0 		0 		22295 		+326965.0
Sta 2 -> 4 	   40 MHz	24.9536 Mbit/s	  +545192.0 		0 		22306 		+331893.0
