Sta 1 -> 4 	   40 MHz	24.9816 Mbit/s	  +2156493.0 		0 		22322 		+499463.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +2255591.0 		0 		22322 		+500062.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97152 Mbit/s	  +2167133.0 		0 		22322 		+494930.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97152 Mbit/s	  +2287799.0 		0 		22322 		+499315.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.99392 Mbit/s	  +2160625.0 		0 		22322 		+497908.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97936 Mbit/s	  +2268339.0 		0 		22322 		+493951.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.99616 Mbit/s	  +2076282.0 		0 		22322 		+494644.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +2223571.0 		0 		22322 		+498928.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.96256 Mbit/s	  +2246490.0 		0 		22322 		+494262.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +2294879.0 		0 		22322 		+499941.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.96704 Mbit/s	  +2192645.0 		0 		22322 		+498933.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
