Sta 1 -> 4 	   40 MHz	24.96368 Mbit/s	  +496417.0 		0 		22301 		+327591.0
Sta 2 -> 4 	   40 MHz	24.9592 Mbit/s	  +521785.0 		0 		22303 		+320898.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +514829.0 		0 		22297 		+326097.0
Sta 2 -> 4 	   40 MHz	24.94576 Mbit/s	  +487508.0 		0 		22287 		+317723.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +536305.0 		0 		22307 		+330658.0
Sta 2 -> 4 	   40 MHz	24.92112 Mbit/s	  +495440.0 		0 		22275 		+319966.0
Sta 1 -> 4 	   40 MHz	24.93232 Mbit/s	  +492204.0 		0 		22282 		+320532.0
Sta 2 -> 4 	   40 MHz	24.96816 Mbit/s	  +515488.0 		0 		22305 		+325971.0
Sta 1 -> 4 	   40 MHz	24.94352 Mbit/s	  +541641.0 		0 		22293 		+337825.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +495252.0 		0 		22302 		+316685.0
Sta 1 -> 4 	   40 MHz	24.95472 Mbit/s	  +529543.0 		0 		22306 		+320693.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +502544.0 		0 		22311 		+329934.0
Sta 1 -> 4 	   40 MHz	24.97824 Mbit/s	  +478895.0 		0 		22304 		+316530.0
Sta 2 -> 4 	   40 MHz	24.92336 Mbit/s	  +514835.0 		0 		22265 		+326168.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +500540.0 		0 		22313 		+323061.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +473032.0 		0 		22299 		+313951.0
Sta 1 -> 4 	   40 MHz	24.94016 Mbit/s	  +544800.0 		0 		22286 		+336320.0
Sta 2 -> 4 	   40 MHz	24.95584 Mbit/s	  +497632.0 		0 		22283 		+318744.0
Sta 1 -> 4 	   40 MHz	24.9256 Mbit/s	  +485886.0 		0 		22282 		+314843.0
Sta 2 -> 4 	   40 MHz	24.96592 Mbit/s	  +523891.0 		0 		22296 		+331326.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +504863.0 		0 		22295 		+326248.0
Sta 2 -> 4 	   40 MHz	24.9536 Mbit/s	  +537643.0 		0 		22306 		+329715.0
