Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +496633.0 		0 		22301 		+328382.0
Sta 2 -> 4 	   40 MHz	24.9592 Mbit/s	  +521141.0 		0 		22303 		+321002.0
Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +11064360.0 		0 		22297 		+352405.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +487784.0 		0 		22287 		+318685.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +543688.0 		0 		22307 		+331421.0
Sta 2 -> 4 	   40 MHz	24.92112 Mbit/s	  +496227.0 		0 		22275 		+320007.0
Sta 1 -> 4 	   40 MHz	24.9312 Mbit/s	  +493569.0 		0 		22282 		+321676.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +519209.0 		0 		22305 		+327156.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +545666.0 		0 		22293 		+339045.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +496603.0 		0 		22302 		+318187.0
Sta 1 -> 4 	   40 MHz	24.9536 Mbit/s	  +4471616.0 		0 		22306 		+337653.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +501426.0 		0 		22311 		+329802.0
Sta 1 -> 4 	   40 MHz	24.97824 Mbit/s	  +478076.0 		0 		22304 		+316474.0
Sta 2 -> 4 	   40 MHz	24.92224 Mbit/s	  +514310.0 		0 		22265 		+325985.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +495893.0 		0 		22313 		+321775.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +473334.0 		0 		22299 		+314727.0
Sta 1 -> 4 	   40 MHz	24.94128 Mbit/s	  +551820.0 		0 		22286 		+337988.0
Sta 2 -> 4 	   40 MHz	24.95472 Mbit/s	  +499483.0 		0 		22283 		+319457.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +486489.0 		0 		22282 		+315016.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +523382.0 		0 		22296 		+329851.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +505625.0 		0 		22295 		+325419.0
Sta 2 -> 4 	   40 MHz	24.9536 Mbit/s	  +541256.0 		0 		22306 		+329968.0
