Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +496897.0 		0 		22301 		+328273.0
Sta 2 -> 4 	   40 MHz	24.95808 Mbit/s	  +518840.0 		0 		22303 		+320091.0
Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +515658.0 		0 		22297 		+326010.0
Sta 2 -> 4 	   40 MHz	24.94576 Mbit/s	  +486437.0 		0 		22287 		+317931.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +530511.0 		0 		22307 		+329723.0
Sta 2 -> 4 	   40 MHz	24.92224 Mbit/s	  +494334.0 		0 		22275 		+319896.0
Sta 1 -> 4 	   40 MHz	24.9312 Mbit/s	  +492974.0 		0 		22282 		+320649.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +515539.0 		0 		22305 		+324905.0
Sta 1 -> 4 	   40 MHz	24.94352 Mbit/s	  +545253.0 		0 		22293 		+338089.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +494872.0 		0 		22302 		+316307.0
Sta 1 -> 4 	   40 MHz	24.95472 Mbit/s	  +531518.0 		0 		22306 		+322817.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +501569.0 		0 		22311 		+330200.0
Sta 1 -> 4 	   40 MHz	24.97712 Mbit/s	  +478255.0 		0 		22304 		+315525.0
Sta 2 -> 4 	   40 MHz	24.92448 Mbit/s	  +514895.0 		0 		22265 		+325269.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +497299.0 		0 		22313 		+322557.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +471669.0 		0 		22299 		+313658.0
Sta 1 -> 4 	   40 MHz	24.94016 Mbit/s	  +549486.0 		0 		22286 		+336827.0
Sta 2 -> 4 	   40 MHz	24.95584 Mbit/s	  +499237.0 		0 		22283 		+319040.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +486643.0 		0 		22282 		+315930.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +519471.0 		0 		22296 		+330501.0
Sta 1 -> 4 	   40 MHz	24.94688 Mbit/s	  +506391.0 		0 		22295 		+326715.0
Sta 2 -> 4 	   40 MHz	24.95248 Mbit/s	  +543887.0 		0 		22306 		+332312.0
