Sta 1 -> 4 	   40 MHz	24.97936 Mbit/s	  +2150329.0 		0 		22322 		+496415.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.9816 Mbit/s	  +2177212.0 		0 		22322 		+497039.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +2267440.0 		0 		22322 		+501828.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +2397674.0 		0 		22322 		+504111.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.99392 Mbit/s	  +2295782.0 		0 		22322 		+499526.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.98608 Mbit/s	  +2247851.0 		0 		22322 		+495925.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.99616 Mbit/s	  +2198236.0 		0 		22322 		+497417.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.98496 Mbit/s	  +2220425.0 		0 		22322 		+498138.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.9928 Mbit/s	  +2124424.0 		0 		22322 		+494449.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +2145087.0 		0 		22322 		+493448.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +2439461.0 		0 		22322 		+502567.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
