Sta 1 -> 4 	   40 MHz	24.96032 Mbit/s	  +2202360.0 		0 		22301 		+496440.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +0.0 		0 		22303 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +0.0 		0 		22297 		+0.0
Sta 2 -> 4 	   40 MHz	24.94128 Mbit/s	  +2166095.0 		0 		22287 		+496756.0
Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +0.0 		0 		22307 		+0.0
Sta 2 -> 4 	   40 MHz	24.92224 Mbit/s	  +2107158.0 		0 		22275 		+492131.0
Sta 1 -> 4 	   40 MHz	24.92784 Mbit/s	  +2269148.0 		0 		22282 		+498603.0
Sta 2 -> 4 	   40 MHz	24.9816 Mbit/s	  +0.0 		0 		22305 		+0.0
Sta 1 -> 4 	   40 MHz	24.96816 Mbit/s	  +0.0 		0 		22293 		+0.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +2153548.0 		0 		22302 		+498327.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
Sta 2 -> 4 	   40 MHz	24.97264 Mbit/s	  +2245809.0 		0 		22311 		+499192.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +2175445.0 		0 		22304 		+497415.0
Sta 2 -> 4 	   40 MHz	24.9368 Mbit/s	  +0.0 		0 		22265 		+0.0
Sta 1 -> 4 	   40 MHz	24.99056 Mbit/s	  +0.0 		0 		22313 		+0.0
Sta 2 -> 4 	   40 MHz	24.94016 Mbit/s	  +2155577.0 		0 		22299 		+494190.0
Sta 1 -> 4 	   40 MHz	24.96032 Mbit/s	  +0.0 		0 		22286 		+0.0
Sta 2 -> 4 	   40 MHz	24.94576 Mbit/s	  +2125864.0 		0 		22283 		+494501.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +2136455.0 		0 		22282 		+493879.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +0.0 		0 		22296 		+0.0
Sta 1 -> 4 	   40 MHz	24.9368 Mbit/s	  +2437542.0 		0 		22295 		+500861.0
Sta 2 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
