Sta 1 -> 4 	   40 MHz	24.96256 Mbit/s	  +2299213.0 		0 		22301 		+504343.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +0.0 		0 		22303 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +0.0 		0 		22297 		+0.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +2160100.0 		0 		22287 		+496302.0
Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +0.0 		0 		22307 		+0.0
Sta 2 -> 4 	   40 MHz	24.92112 Mbit/s	  +2169588.0 		0 		22275 		+495939.0
Sta 1 -> 4 	   40 MHz	24.92896 Mbit/s	  +2151864.0 		0 		22282 		+496062.0
Sta 2 -> 4 	   40 MHz	24.9816 Mbit/s	  +0.0 		0 		22305 		+0.0
Sta 1 -> 4 	   40 MHz	24.96816 Mbit/s	  +0.0 		0 		22293 		+0.0
Sta 2 -> 4 	   40 MHz	24.97264 Mbit/s	  +2251055.0 		0 		22302 		+495016.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
Sta 2 -> 4 	   40 MHz	24.96592 Mbit/s	  +2190088.0 		0 		22311 		+497759.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +2087176.0 		0 		22304 		+494522.0
Sta 2 -> 4 	   40 MHz	24.9368 Mbit/s	  +0.0 		0 		22265 		+0.0
Sta 1 -> 4 	   40 MHz	24.99056 Mbit/s	  +0.0 		0 		22313 		+0.0
Sta 2 -> 4 	   40 MHz	24.96368 Mbit/s	  +2282761.0 		0 		22299 		+499947.0
Sta 1 -> 4 	   40 MHz	24.96032 Mbit/s	  +0.0 		0 		22286 		+0.0
Sta 2 -> 4 	   40 MHz	24.93904 Mbit/s	  +2159041.0 		0 		22283 		+497377.0
Sta 1 -> 4 	   40 MHz	24.92784 Mbit/s	  +2135175.0 		0 		22282 		+495374.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +0.0 		0 		22296 		+0.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +2151641.0 		0 		22295 		+493207.0
Sta 2 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
