Sta 1 -> 4 	   40 MHz	24.98608 Mbit/s	  +541954.0 		0 		22322 		+333673.0
Sta 2 -> 4 	   40 MHz	24.98048 Mbit/s	  +620873.0 		0 		22322 		+356432.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +540186.0 		0 		22322 		+332624.0
Sta 2 -> 4 	   40 MHz	24.9928 Mbit/s	  +611533.0 		0 		22322 		+353468.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +541228.0 		0 		22322 		+332409.0
Sta 2 -> 4 	   40 MHz	24.99168 Mbit/s	  +610612.0 		0 		22322 		+354252.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +540613.0 		0 		22322 		+332851.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +611052.0 		0 		22322 		+353829.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +541150.0 		0 		22322 		+333338.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +616956.0 		0 		22322 		+355544.0
Sta 1 -> 4 	   40 MHz	24.98608 Mbit/s	  +536920.0 		0 		22322 		+331637.0
Sta 2 -> 4 	   40 MHz	24.97824 Mbit/s	  +610720.0 		0 		22322 		+354510.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +537843.0 		0 		22322 		+331819.0
Sta 2 -> 4 	   40 MHz	24.98384 Mbit/s	  +608803.0 		0 		22322 		+353422.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +539666.0 		0 		22322 		+332383.0
Sta 2 -> 4 	   40 MHz	24.9984 Mbit/s	  +614110.0 		0 		22322 		+354201.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +536567.0 		0 		22322 		+332960.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +607508.0 		0 		22322 		+354679.0
Sta 1 -> 4 	   40 MHz	24.96928 Mbit/s	  +543580.0 		0 		22322 		+334117.0
Sta 2 -> 4 	   40 MHz	24.99504 Mbit/s	  +613260.0 		0 		22322 		+355303.0
Sta 1 -> 4 	   40 MHz	24.976 Mbit/s	  +541013.0 		0 		22322 		+333318.0
Sta 2 -> 4 	   40 MHz	24.96816 Mbit/s	  +617723.0 		0 		22322 		+356017.0
