Sta 1 -> 4 	   40 MHz	24.98832 Mbit/s	  +508600.0 		0 		22322 		+321963.0
Sta 2 -> 4 	   40 MHz	24.97824 Mbit/s	  +528407.0 		0 		22322 		+324976.0
Sta 1 -> 4 	   40 MHz	24.97936 Mbit/s	  +509874.0 		0 		22322 		+322304.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +529035.0 		0 		22322 		+325486.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +510827.0 		0 		22322 		+322005.0
Sta 2 -> 4 	   40 MHz	24.9928 Mbit/s	  +527692.0 		0 		22322 		+324699.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +510149.0 		0 		22322 		+323366.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +528134.0 		0 		22322 		+324850.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +508034.0 		0 		22322 		+322168.0
Sta 2 -> 4 	   40 MHz	24.97376 Mbit/s	  +531672.0 		0 		22322 		+325583.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +508168.0 		0 		22322 		+321388.0
Sta 2 -> 4 	   40 MHz	24.97712 Mbit/s	  +529388.0 		0 		22322 		+324653.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +510447.0 		0 		22322 		+323164.0
Sta 2 -> 4 	   40 MHz	24.98496 Mbit/s	  +528529.0 		0 		22322 		+325357.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +508835.0 		0 		22322 		+322339.0
Sta 2 -> 4 	   40 MHz	24.99952 Mbit/s	  +528426.0 		0 		22322 		+324768.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +509568.0 		0 		22322 		+321602.0
Sta 2 -> 4 	   40 MHz	24.9816 Mbit/s	  +528808.0 		0 		22322 		+326385.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +510129.0 		0 		22322 		+322884.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +528891.0 		0 		22322 		+324526.0
Sta 1 -> 4 	   40 MHz	24.976 Mbit/s	  +511992.0 		0 		22322 		+323955.0
Sta 2 -> 4 	   40 MHz	24.96816 Mbit/s	  +529842.0 		0 		22322 		+326019.0
