Sta 1 -> 4 	   40 MHz	24.98608 Mbit/s	  +539599.0 		0 		22322 		+333059.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +615579.0 		0 		22322 		+355481.0
Sta 1 -> 4 	   40 MHz	24.9816 Mbit/s	  +537813.0 		0 		22322 		+331565.0
Sta 2 -> 4 	   40 MHz	24.99504 Mbit/s	  +604789.0 		0 		22322 		+352670.0
Sta 1 -> 4 	   40 MHz	24.97152 Mbit/s	  +538942.0 		0 		22322 		+333069.0
Sta 2 -> 4 	   40 MHz	24.99168 Mbit/s	  +606602.0 		0 		22322 		+353145.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +540679.0 		0 		22322 		+333157.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +613971.0 		0 		22322 		+355434.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +537970.0 		0 		22322 		+333257.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +612421.0 		0 		22322 		+355396.0
Sta 1 -> 4 	   40 MHz	24.98832 Mbit/s	  +537985.0 		0 		22322 		+332565.0
Sta 2 -> 4 	   40 MHz	24.97712 Mbit/s	  +609063.0 		0 		22322 		+353907.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +538786.0 		0 		22322 		+332385.0
Sta 2 -> 4 	   40 MHz	24.98496 Mbit/s	  +611326.0 		0 		22322 		+354392.0
Sta 1 -> 4 	   40 MHz	24.98608 Mbit/s	  +540945.0 		0 		22322 		+333541.0
Sta 2 -> 4 	   40 MHz	24.99952 Mbit/s	  +613655.0 		0 		22322 		+354025.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +539045.0 		0 		22322 		+333335.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +605456.0 		0 		22322 		+353913.0
Sta 1 -> 4 	   40 MHz	24.97152 Mbit/s	  +539980.0 		0 		22322 		+333473.0
Sta 2 -> 4 	   40 MHz	24.9928 Mbit/s	  +605336.0 		0 		22322 		+353372.0
Sta 1 -> 4 	   40 MHz	24.976 Mbit/s	  +539957.0 		0 		22322 		+333780.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +613514.0 		0 		22322 		+355642.0
