Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +537023.0 		0 		22322 		+332211.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +609827.0 		0 		22322 		+353703.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +542471.0 		0 		22322 		+333378.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +618488.0 		0 		22322 		+356117.0
Sta 1 -> 4 	   40 MHz	24.97152 Mbit/s	  +538973.0 		0 		22322 		+332202.0
Sta 2 -> 4 	   40 MHz	24.99168 Mbit/s	  +604199.0 		0 		22322 		+352704.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +541013.0 		0 		22322 		+333596.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +613889.0 		0 		22322 		+354070.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +535782.0 		0 		22322 		+331637.0
Sta 2 -> 4 	   40 MHz	24.97376 Mbit/s	  +608302.0 		0 		22322 		+353742.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +537754.0 		0 		22322 		+332168.0
Sta 2 -> 4 	   40 MHz	24.97712 Mbit/s	  +612574.0 		0 		22322 		+355268.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +538397.0 		0 		22322 		+332352.0
Sta 2 -> 4 	   40 MHz	24.98384 Mbit/s	  +605691.0 		0 		22322 		+352645.0
Sta 1 -> 4 	   40 MHz	24.98608 Mbit/s	  +542070.0 		0 		22322 		+333005.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +620628.0 		0 		22322 		+355461.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +539249.0 		0 		22322 		+332911.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +613483.0 		0 		22322 		+356943.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +540053.0 		0 		22322 		+333001.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +607699.0 		0 		22322 		+353161.0
Sta 1 -> 4 	   40 MHz	24.976 Mbit/s	  +537280.0 		0 		22322 		+332116.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +609746.0 		0 		22322 		+353191.0
