Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +684568.0 		0 		22322 		+369321.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +695783.0 		0 		22322 		+371568.0
Sta 1 -> 4 	   40 MHz	24.97824 Mbit/s	  +696752.0 		0 		22322 		+370723.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +689402.0 		0 		22322 		+370358.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +685388.0 		0 		22322 		+371160.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +679246.0 		0 		22322 		+369949.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +720456.0 		0 		22322 		+371816.0
Sta 2 -> 4 	   40 MHz	24.99168 Mbit/s	  +701676.0 		0 		22322 		+372157.0
Sta 1 -> 4 	   40 MHz	24.99728 Mbit/s	  +675589.0 		0 		22322 		+367466.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +679186.0 		0 		22322 		+369287.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +695630.0 		0 		22322 		+370963.0
Sta 2 -> 4 	   40 MHz	24.97712 Mbit/s	  +689704.0 		0 		22322 		+371046.0
Sta 1 -> 4 	   40 MHz	24.99728 Mbit/s	  +675866.0 		0 		22322 		+368453.0
Sta 2 -> 4 	   40 MHz	24.98496 Mbit/s	  +675013.0 		0 		22322 		+367654.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +687607.0 		0 		22322 		+369614.0
Sta 2 -> 4 	   40 MHz	24.99952 Mbit/s	  +674431.0 		0 		22322 		+366711.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +662046.0 		0 		22322 		+366225.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +670738.0 		0 		22322 		+369822.0
Sta 1 -> 4 	   40 MHz	24.96928 Mbit/s	  +684570.0 		0 		22322 		+369655.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +682682.0 		0 		22322 		+369241.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +656557.0 		0 		22322 		+366120.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +677048.0 		0 		22322 		+368324.0
