Sta 1 -> 4 	   40 MHz	24.95696 Mbit/s	  +2167058.0 		0 		22301 		+498946.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +0.0 		0 		22303 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +0.0 		0 		22297 		+0.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +2211281.0 		0 		22287 		+498832.0
Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +0.0 		0 		22307 		+0.0
Sta 2 -> 4 	   40 MHz	24.92 Mbit/s	  +2190027.0 		0 		22275 		+497699.0
Sta 1 -> 4 	   40 MHz	24.92896 Mbit/s	  +2209064.0 		0 		22282 		+499626.0
Sta 2 -> 4 	   40 MHz	24.9816 Mbit/s	  +0.0 		0 		22305 		+0.0
Sta 1 -> 4 	   40 MHz	24.96816 Mbit/s	  +0.0 		0 		22293 		+0.0
Sta 2 -> 4 	   40 MHz	24.97264 Mbit/s	  +2175748.0 		0 		22302 		+496143.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +2283514.0 		0 		22311 		+499813.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +2134499.0 		0 		22304 		+494217.0
Sta 2 -> 4 	   40 MHz	24.9368 Mbit/s	  +0.0 		0 		22265 		+0.0
Sta 1 -> 4 	   40 MHz	24.99056 Mbit/s	  +0.0 		0 		22313 		+0.0
Sta 2 -> 4 	   40 MHz	24.96032 Mbit/s	  +2242255.0 		0 		22299 		+498854.0
Sta 1 -> 4 	   40 MHz	24.96032 Mbit/s	  +0.0 		0 		22286 		+0.0
Sta 2 -> 4 	   40 MHz	24.94912 Mbit/s	  +2159070.0 		0 		22283 		+496789.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +2232840.0 		0 		22282 		+500056.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +0.0 		0 		22296 		+0.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +2158907.0 		0 		22295 		+497651.0
Sta 2 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
