Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +496216.0 		0 		22301 		+327981.0
Sta 2 -> 4 	   40 MHz	24.95808 Mbit/s	  +524158.0 		0 		22303 		+321845.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +524291.0 		0 		22297 		+326810.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +491380.0 		0 		22287 		+319619.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +536802.0 		0 		22307 		+329516.0
Sta 2 -> 4 	   40 MHz	24.92112 Mbit/s	  +494957.0 		0 		22275 		+319601.0
Sta 1 -> 4 	   40 MHz	24.93232 Mbit/s	  +491839.0 		0 		22282 		+320104.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +523156.0 		0 		22305 		+327868.0
Sta 1 -> 4 	   40 MHz	24.94352 Mbit/s	  +542813.0 		0 		22293 		+338612.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +495144.0 		0 		22302 		+317014.0
Sta 1 -> 4 	   40 MHz	24.95472 Mbit/s	  +533999.0 		0 		22306 		+321917.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +502008.0 		0 		22311 		+330271.0
Sta 1 -> 4 	   40 MHz	24.97824 Mbit/s	  +476829.0 		0 		22304 		+316618.0
Sta 2 -> 4 	   40 MHz	24.92336 Mbit/s	  +511337.0 		0 		22265 		+325463.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +494680.0 		0 		22313 		+322371.0
Sta 2 -> 4 	   40 MHz	24.96256 Mbit/s	  +472217.0 		0 		22299 		+314181.0
Sta 1 -> 4 	   40 MHz	24.94128 Mbit/s	  +561497.0 		0 		22286 		+339026.0
Sta 2 -> 4 	   40 MHz	24.95472 Mbit/s	  +502311.0 		0 		22283 		+319601.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +487339.0 		0 		22282 		+316428.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +525887.0 		0 		22296 		+331593.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +505554.0 		0 		22295 		+326081.0
Sta 2 -> 4 	   40 MHz	24.9536 Mbit/s	  +540939.0 		0 		22306 		+330361.0
