Sta 1 -> 4 	   40 MHz	8.65088 Mbit/s	  +334644030.0 		3898 		22301 		+2069324.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +0.0 		0 		22303 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +0.0 		0 		22297 		+0.0
Sta 2 -> 4 	   40 MHz	9.4136 Mbit/s	  +287497030.0 		3927 		22287 		+1842335.0
Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +0.0 		0 		22307 		+0.0
Sta 2 -> 4 	   40 MHz	10.88976 Mbit/s	  +285369435.0 		2954 		22275 		+1460398.0
Sta 1 -> 4 	   40 MHz	10.93792 Mbit/s	  +198919906.0 		1966 		22282 		+1566259.0
Sta 2 -> 4 	   40 MHz	24.9816 Mbit/s	  +0.0 		0 		22305 		+0.0
Sta 1 -> 4 	   40 MHz	24.96816 Mbit/s	  +0.0 		0 		22293 		+0.0
Sta 2 -> 4 	   40 MHz	9.69696 Mbit/s	  +79493502.0 		0 		22302 		+1948517.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
Sta 2 -> 4 	   40 MHz	14.05152 Mbit/s	  +108258659.0 		0 		22311 		+1178732.0
Sta 1 -> 4 	   40 MHz	10.07552 Mbit/s	  +246337914.0 		2944 		22304 		+1648746.0
Sta 2 -> 4 	   40 MHz	24.9368 Mbit/s	  +0.0 		0 		22265 		+0.0
Sta 1 -> 4 	   40 MHz	24.99056 Mbit/s	  +0.0 		0 		22313 		+0.0
Sta 2 -> 4 	   40 MHz	13.01664 Mbit/s	  +144625624.0 		1960 		22299 		+1268120.0
Sta 1 -> 4 	   40 MHz	24.96032 Mbit/s	  +0.0 		0 		22286 		+0.0
Sta 2 -> 4 	   40 MHz	8.60384 Mbit/s	  +259217205.0 		4148 		22283 		+1627275.0
Sta 1 -> 4 	   40 MHz	5.84976 Mbit/s	  +505830697.0 		8303 		22282 		+2434405.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +0.0 		0 		22296 		+0.0
Sta 1 -> 4 	   40 MHz	12.572 Mbit/s	  +144628237.0 		971 		22295 		+1337084.0
Sta 2 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
