Sta 1 -> 4 	   40 MHz	24.95584 Mbit/s	  +2235852.0 		0 		22301 		+501165.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +0.0 		0 		22303 		+0.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +0.0 		0 		22297 		+0.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +2177539.0 		0 		22287 		+496901.0
Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +0.0 		0 		22307 		+0.0
Sta 2 -> 4 	   40 MHz	24.92 Mbit/s	  +2243195.0 		0 		22275 		+494721.0
Sta 1 -> 4 	   40 MHz	24.93008 Mbit/s	  +2181991.0 		0 		22282 		+495996.0
Sta 2 -> 4 	   40 MHz	24.9816 Mbit/s	  +0.0 		0 		22305 		+0.0
Sta 1 -> 4 	   40 MHz	24.96816 Mbit/s	  +0.0 		0 		22293 		+0.0
Sta 2 -> 4 	   40 MHz	24.96704 Mbit/s	  +2250043.0 		0 		22302 		+494125.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +2344935.0 		0 		22311 		+502791.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +2211576.0 		0 		22304 		+494795.0
Sta 2 -> 4 	   40 MHz	24.9368 Mbit/s	  +0.0 		0 		22265 		+0.0
Sta 1 -> 4 	   40 MHz	24.99056 Mbit/s	  +0.0 		0 		22313 		+0.0
Sta 2 -> 4 	   40 MHz	24.95696 Mbit/s	  +2249808.0 		0 		22299 		+498725.0
Sta 1 -> 4 	   40 MHz	24.96032 Mbit/s	  +0.0 		0 		22286 		+0.0
Sta 2 -> 4 	   40 MHz	24.94128 Mbit/s	  +2225840.0 		0 		22283 		+499478.0
Sta 1 -> 4 	   40 MHz	24.92224 Mbit/s	  +2414008.0 		0 		22282 		+502277.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +0.0 		0 		22296 		+0.0
Sta 1 -> 4 	   40 MHz	24.93792 Mbit/s	  +2238698.0 		0 		22295 		+499507.0
Sta 2 -> 4 	   40 MHz	24.98272 Mbit/s	  +0.0 		0 		22306 		+0.0
