Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +495886.0 		0 		22301 		+327975.0
Sta 2 -> 4 	   40 MHz	24.9592 Mbit/s	  +521263.0 		0 		22303 		+320420.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +512091.0 		0 		22297 		+325318.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +488204.0 		0 		22287 		+318798.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +535445.0 		0 		22307 		+330699.0
Sta 2 -> 4 	   40 MHz	24.92224 Mbit/s	  +494995.0 		0 		22275 		+319638.0
Sta 1 -> 4 	   40 MHz	24.9312 Mbit/s	  +492690.0 		0 		22282 		+320739.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +516331.0 		0 		22305 		+324999.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +543402.0 		0 		22293 		+339057.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +494576.0 		0 		22302 		+316999.0
Sta 1 -> 4 	   40 MHz	24.95584 Mbit/s	  +531008.0 		0 		22306 		+320510.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +501362.0 		0 		22311 		+329715.0
Sta 1 -> 4 	   40 MHz	24.97824 Mbit/s	  +479330.0 		0 		22304 		+317176.0
Sta 2 -> 4 	   40 MHz	24.92336 Mbit/s	  +513646.0 		0 		22265 		+326283.0
Sta 1 -> 4 	   40 MHz	24.98832 Mbit/s	  +496328.0 		0 		22313 		+321245.0
Sta 2 -> 4 	   40 MHz	24.96256 Mbit/s	  +472489.0 		0 		22299 		+314039.0
Sta 1 -> 4 	   40 MHz	24.94016 Mbit/s	  +556494.0 		0 		22286 		+339573.0
Sta 2 -> 4 	   40 MHz	24.95584 Mbit/s	  +501525.0 		0 		22283 		+320261.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +484371.0 		0 		22282 		+314918.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +518813.0 		0 		22296 		+330360.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +508521.0 		0 		22295 		+327385.0
Sta 2 -> 4 	   40 MHz	24.9536 Mbit/s	  +545898.0 		0 		22306 		+331204.0
