Sta 1 -> 4 	   40 MHz	24.96368 Mbit/s	  +541112.0 		0 		22301 		+345300.0
Sta 2 -> 4 	   40 MHz	23.4808 Mbit/s	  +88496806.0 		0 		22303 		+835626.0
Sta 1 -> 4 	   40 MHz	23.6488 Mbit/s	  +67262154.0 		0 		22297 		+813065.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +523286.0 		0 		22287 		+334836.0
Sta 1 -> 4 	   40 MHz	24.34096 Mbit/s	  +71594411.0 		0 		22307 		+808618.0
Sta 2 -> 4 	   40 MHz	24.92 Mbit/s	  +530603.0 		0 		22275 		+337033.0
Sta 1 -> 4 	   40 MHz	24.9312 Mbit/s	  +524021.0 		0 		22282 		+336509.0
Sta 2 -> 4 	   40 MHz	24.33424 Mbit/s	  +82896989.0 		0 		22305 		+813335.0
Sta 1 -> 4 	   40 MHz	23.95232 Mbit/s	  +45082171.0 		0 		22293 		+772100.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +525743.0 		0 		22302 		+333063.0
Sta 1 -> 4 	   40 MHz	23.18064 Mbit/s	  +110178599.0 		0 		22306 		+859255.0
Sta 2 -> 4 	   40 MHz	24.97376 Mbit/s	  +550454.0 		0 		22311 		+348464.0
Sta 1 -> 4 	   40 MHz	24.97712 Mbit/s	  +507294.0 		0 		22304 		+332080.0
Sta 2 -> 4 	   40 MHz	24.24352 Mbit/s	  +76830963.0 		0 		22265 		+816412.0
Sta 1 -> 4 	   40 MHz	24.00496 Mbit/s	  +82824128.0 		0 		22313 		+840590.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +501048.0 		0 		22299 		+329205.0
Sta 1 -> 4 	   40 MHz	24.35776 Mbit/s	  +65596449.0 		0 		22286 		+774109.0
Sta 2 -> 4 	   40 MHz	24.95584 Mbit/s	  +528945.0 		0 		22283 		+334872.0
Sta 1 -> 4 	   40 MHz	24.92784 Mbit/s	  +519073.0 		0 		22282 		+333129.0
Sta 2 -> 4 	   40 MHz	24.24688 Mbit/s	  +61518457.0 		0 		22296 		+803333.0
Sta 1 -> 4 	   40 MHz	24.94688 Mbit/s	  +535305.0 		0 		22295 		+341093.0
Sta 2 -> 4 	   40 MHz	24.30512 Mbit/s	  +97741473.0 		0 		22306 		+805317.0
