Sta 1 -> 4 	   40 MHz	24.98832 Mbit/s	  +535781.0 		0 		22322 		+331626.0
Sta 2 -> 4 	   40 MHz	24.97824 Mbit/s	  +605608.0 		0 		22322 		+352587.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +539295.0 		0 		22322 		+331952.0
Sta 2 -> 4 	   40 MHz	24.9928 Mbit/s	  +612779.0 		0 		22322 		+353293.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +537378.0 		0 		22322 		+332669.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +603091.0 		0 		22322 		+353696.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +542853.0 		0 		22322 		+333728.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +622726.0 		0 		22322 		+356720.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +537880.0 		0 		22322 		+331866.0
Sta 2 -> 4 	   40 MHz	24.97376 Mbit/s	  +610366.0 		0 		22322 		+352922.0
Sta 1 -> 4 	   40 MHz	24.98832 Mbit/s	  +539728.0 		0 		22322 		+333342.0
Sta 2 -> 4 	   40 MHz	24.97712 Mbit/s	  +610419.0 		0 		22322 		+354767.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +540641.0 		0 		22322 		+333710.0
Sta 2 -> 4 	   40 MHz	24.98384 Mbit/s	  +614082.0 		0 		22322 		+354121.0
Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +537366.0 		0 		22322 		+331779.0
Sta 2 -> 4 	   40 MHz	24.9984 Mbit/s	  +606651.0 		0 		22322 		+351793.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +538770.0 		0 		22322 		+332302.0
Sta 2 -> 4 	   40 MHz	24.97824 Mbit/s	  +604657.0 		0 		22322 		+353987.0
Sta 1 -> 4 	   40 MHz	24.96816 Mbit/s	  +541959.0 		0 		22322 		+332907.0
Sta 2 -> 4 	   40 MHz	24.9928 Mbit/s	  +621154.0 		0 		22322 		+355309.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +539949.0 		0 		22322 		+333022.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +614193.0 		0 		22322 		+354794.0
