Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +496685.0 		0 		22301 		+328117.0
Sta 2 -> 4 	   40 MHz	24.95808 Mbit/s	  +523698.0 		0 		22303 		+321199.0
Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +522266.0 		0 		22297 		+327099.0
Sta 2 -> 4 	   40 MHz	24.94576 Mbit/s	  +487789.0 		0 		22287 		+318402.0
Sta 1 -> 4 	   40 MHz	24.976 Mbit/s	  +536830.0 		0 		22307 		+330731.0
Sta 2 -> 4 	   40 MHz	24.92 Mbit/s	  +495344.0 		0 		22275 		+320262.0
Sta 1 -> 4 	   40 MHz	24.9312 Mbit/s	  +491991.0 		0 		22282 		+321035.0
Sta 2 -> 4 	   40 MHz	24.97152 Mbit/s	  +514275.0 		0 		22305 		+325397.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +550716.0 		0 		22293 		+339056.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +496173.0 		0 		22302 		+316769.0
Sta 1 -> 4 	   40 MHz	24.95472 Mbit/s	  +533365.0 		0 		22306 		+322534.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +503811.0 		0 		22311 		+330847.0
Sta 1 -> 4 	   40 MHz	24.97824 Mbit/s	  +477954.0 		0 		22304 		+316737.0
Sta 2 -> 4 	   40 MHz	24.92336 Mbit/s	  +515416.0 		0 		22265 		+327409.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +494890.0 		0 		22313 		+321922.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +472839.0 		0 		22299 		+313921.0
Sta 1 -> 4 	   40 MHz	24.94016 Mbit/s	  +551829.0 		0 		22286 		+336573.0
Sta 2 -> 4 	   40 MHz	24.95584 Mbit/s	  +500534.0 		0 		22283 		+319444.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +485879.0 		0 		22282 		+315741.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +518860.0 		0 		22296 		+331169.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +507366.0 		0 		22295 		+327028.0
Sta 2 -> 4 	   40 MHz	24.9536 Mbit/s	  +542865.0 		0 		22306 		+330026.0
