Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +494356.0 		0 		22301 		+326796.0
Sta 2 -> 4 	   40 MHz	24.95808 Mbit/s	  +514946.0 		0 		22303 		+317313.0
Sta 1 -> 4 	   40 MHz	24.96592 Mbit/s	  +516183.0 		0 		22297 		+325767.0
Sta 2 -> 4 	   40 MHz	24.94464 Mbit/s	  +486289.0 		0 		22287 		+317024.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +537533.0 		0 		22307 		+330903.0
Sta 2 -> 4 	   40 MHz	24.92112 Mbit/s	  +495280.0 		0 		22275 		+320509.0
Sta 1 -> 4 	   40 MHz	24.93232 Mbit/s	  +492595.0 		0 		22282 		+320833.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +520659.0 		0 		22305 		+325990.0
Sta 1 -> 4 	   40 MHz	24.94352 Mbit/s	  +541690.0 		0 		22293 		+337932.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +493870.0 		0 		22302 		+315955.0
Sta 1 -> 4 	   40 MHz	24.95472 Mbit/s	  +528571.0 		0 		22306 		+320426.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +502536.0 		0 		22311 		+330419.0
Sta 1 -> 4 	   40 MHz	24.97712 Mbit/s	  +476637.0 		0 		22304 		+315529.0
Sta 2 -> 4 	   40 MHz	24.92336 Mbit/s	  +514202.0 		0 		22265 		+326559.0
Sta 1 -> 4 	   40 MHz	24.98832 Mbit/s	  +503602.0 		0 		22313 		+323718.0
Sta 2 -> 4 	   40 MHz	24.96256 Mbit/s	  +475142.0 		0 		22299 		+314882.0
Sta 1 -> 4 	   40 MHz	24.93792 Mbit/s	  +560570.0 		0 		22286 		+339075.0
Sta 2 -> 4 	   40 MHz	24.95584 Mbit/s	  +501820.0 		0 		22283 		+320232.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +486451.0 		0 		22282 		+315165.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +526825.0 		0 		22296 		+331790.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +504974.0 		0 		22295 		+325867.0
Sta 2 -> 4 	   40 MHz	24.95248 Mbit/s	  +540550.0 		0 		22306 		+329288.0
