Sta 1 -> 4 	   40 MHz	24.98384 Mbit/s	  +2146699.0 		0 		22322 		+496616.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +2170449.0 		0 		22322 		+496008.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97376 Mbit/s	  +2253705.0 		0 		22322 		+502995.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.976 Mbit/s	  +2257242.0 		0 		22322 		+498228.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.99616 Mbit/s	  +2276731.0 		0 		22322 		+491216.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97936 Mbit/s	  +2192472.0 		0 		22322 		+499385.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.99056 Mbit/s	  +2171953.0 		0 		22322 		+495715.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.98496 Mbit/s	  +2219679.0 		0 		22322 		+499216.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.99504 Mbit/s	  +2163075.0 		0 		22322 		+497742.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.97152 Mbit/s	  +2157432.0 		0 		22322 		+496803.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +2318066.0 		0 		22322 		+498041.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +0.0 		0 		22322 		+0.0
