Sta 1 -> 4 	   40 MHz	24.96368 Mbit/s	  +496988.0 		0 		22301 		+328421.0
Sta 2 -> 4 	   40 MHz	24.9592 Mbit/s	  +526512.0 		0 		22303 		+321637.0
Sta 1 -> 4 	   40 MHz	24.9648 Mbit/s	  +521422.0 		0 		22297 		+328314.0
Sta 2 -> 4 	   40 MHz	24.94576 Mbit/s	  +489690.0 		0 		22287 		+319400.0
Sta 1 -> 4 	   40 MHz	24.976 Mbit/s	  +533589.0 		0 		22307 		+330201.0
Sta 2 -> 4 	   40 MHz	24.92 Mbit/s	  +493702.0 		0 		22275 		+320381.0
Sta 1 -> 4 	   40 MHz	24.93232 Mbit/s	  +493407.0 		0 		22282 		+321040.0
Sta 2 -> 4 	   40 MHz	24.9704 Mbit/s	  +518556.0 		0 		22305 		+326280.0
Sta 1 -> 4 	   40 MHz	24.94464 Mbit/s	  +552634.0 		0 		22293 		+340930.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +499408.0 		0 		22302 		+317865.0
Sta 1 -> 4 	   40 MHz	24.95472 Mbit/s	  +528902.0 		0 		22306 		+321490.0
Sta 2 -> 4 	   40 MHz	24.976 Mbit/s	  +503559.0 		0 		22311 		+330244.0
Sta 1 -> 4 	   40 MHz	24.97824 Mbit/s	  +478055.0 		0 		22304 		+316196.0
Sta 2 -> 4 	   40 MHz	24.92336 Mbit/s	  +514174.0 		0 		22265 		+325225.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +492319.0 		0 		22313 		+321325.0
Sta 2 -> 4 	   40 MHz	24.96144 Mbit/s	  +471501.0 		0 		22299 		+313389.0
Sta 1 -> 4 	   40 MHz	24.94128 Mbit/s	  +547973.0 		0 		22286 		+337429.0
Sta 2 -> 4 	   40 MHz	24.95472 Mbit/s	  +496487.0 		0 		22283 		+317832.0
Sta 1 -> 4 	   40 MHz	24.92672 Mbit/s	  +488609.0 		0 		22282 		+315607.0
Sta 2 -> 4 	   40 MHz	24.9648 Mbit/s	  +527103.0 		0 		22296 		+330378.0
Sta 1 -> 4 	   40 MHz	24.94576 Mbit/s	  +507936.0 		0 		22295 		+327290.0
Sta 2 -> 4 	   40 MHz	24.95248 Mbit/s	  +547783.0 		0 		22306 		+331983.0
