Sta 1 -> 4 	   40 MHz	24.88976 Mbit/s	  +4491528.0 		0 		22322 		+449105.0
Sta 2 -> 4 	   40 MHz	24.98048 Mbit/s	  +683536.0 		0 		22322 		+368380.0
Sta 1 -> 4 	   40 MHz	24.87296 Mbit/s	  +7077442.0 		0 		22322 		+481594.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +672786.0 		0 		22322 		+369434.0
Sta 1 -> 4 	   40 MHz	24.87968 Mbit/s	  +7773061.0 		0 		22322 		+472151.0
Sta 2 -> 4 	   40 MHz	24.99168 Mbit/s	  +664038.0 		0 		22322 		+367170.0
Sta 1 -> 4 	   40 MHz	24.89312 Mbit/s	  +6996276.0 		0 		22322 		+462765.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +669331.0 		0 		22322 		+366614.0
Sta 1 -> 4 	   40 MHz	24.8976 Mbit/s	  +6737561.0 		0 		22322 		+459927.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +689695.0 		0 		22322 		+370529.0
Sta 1 -> 4 	   40 MHz	24.70496 Mbit/s	  +6264068.0 		0 		22322 		+477686.0
Sta 2 -> 4 	   40 MHz	24.97712 Mbit/s	  +684169.0 		0 		22322 		+369652.0
Sta 1 -> 4 	   40 MHz	24.90208 Mbit/s	  +6147044.0 		0 		22322 		+457316.0
Sta 2 -> 4 	   40 MHz	24.98496 Mbit/s	  +659546.0 		0 		22322 		+365915.0
Sta 1 -> 4 	   40 MHz	24.88976 Mbit/s	  +5630459.0 		0 		22322 		+458919.0
Sta 2 -> 4 	   40 MHz	24.9984 Mbit/s	  +687418.0 		0 		22322 		+370078.0
Sta 1 -> 4 	   40 MHz	24.9032 Mbit/s	  +4586717.0 		0 		22322 		+450719.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +688859.0 		0 		22322 		+369837.0
Sta 1 -> 4 	   40 MHz	24.8752 Mbit/s	  +5761053.0 		0 		22322 		+460959.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +656124.0 		0 		22322 		+364916.0
Sta 1 -> 4 	   40 MHz	24.86736 Mbit/s	  +5182822.0 		0 		22322 		+456059.0
Sta 2 -> 4 	   40 MHz	24.96592 Mbit/s	  +680910.0 		0 		22322 		+370660.0
Sta 1 -> 4 	   40 MHz	24.88976 Mbit/s	  +4491528.0 		0 		22322 		+449105.0
Sta 2 -> 4 	   40 MHz	24.98048 Mbit/s	  +683536.0 		0 		22322 		+368380.0
Sta 1 -> 4 	   40 MHz	24.87296 Mbit/s	  +7077442.0 		0 		22322 		+481594.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +672786.0 		0 		22322 		+369434.0
Sta 1 -> 4 	   40 MHz	24.87968 Mbit/s	  +7773061.0 		0 		22322 		+472151.0
Sta 2 -> 4 	   40 MHz	24.99168 Mbit/s	  +664038.0 		0 		22322 		+367170.0
Sta 1 -> 4 	   40 MHz	24.89312 Mbit/s	  +6996276.0 		0 		22322 		+462765.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +669331.0 		0 		22322 		+366614.0
Sta 1 -> 4 	   40 MHz	24.8976 Mbit/s	  +6737561.0 		0 		22322 		+459927.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +689695.0 		0 		22322 		+370529.0
Sta 1 -> 4 	   40 MHz	24.70496 Mbit/s	  +6264068.0 		0 		22322 		+477686.0
Sta 2 -> 4 	   40 MHz	24.97712 Mbit/s	  +684169.0 		0 		22322 		+369652.0
Sta 1 -> 4 	   40 MHz	24.90208 Mbit/s	  +6147044.0 		0 		22322 		+457316.0
Sta 2 -> 4 	   40 MHz	24.98496 Mbit/s	  +659546.0 		0 		22322 		+365915.0
Sta 1 -> 4 	   40 MHz	24.88976 Mbit/s	  +5630459.0 		0 		22322 		+458919.0
Sta 2 -> 4 	   40 MHz	24.9984 Mbit/s	  +687418.0 		0 		22322 		+370078.0
Sta 1 -> 4 	   40 MHz	24.9032 Mbit/s	  +4586717.0 		0 		22322 		+450719.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +688859.0 		0 		22322 		+369837.0
Sta 1 -> 4 	   40 MHz	24.8752 Mbit/s	  +5761053.0 		0 		22322 		+460959.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +656124.0 		0 		22322 		+364916.0
Sta 1 -> 4 	   40 MHz	24.86736 Mbit/s	  +5182822.0 		0 		22322 		+456059.0
Sta 2 -> 4 	   40 MHz	24.96592 Mbit/s	  +680910.0 		0 		22322 		+370660.0
