Sta 1 -> 4 	   40 MHz	24.9872 Mbit/s	  +538285.0 		0 		22322 		+333578.0
Sta 2 -> 4 	   40 MHz	24.97936 Mbit/s	  +608604.0 		0 		22322 		+354064.0
Sta 1 -> 4 	   40 MHz	24.98272 Mbit/s	  +540438.0 		0 		22322 		+332716.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +617743.0 		0 		22322 		+354604.0
Sta 1 -> 4 	   40 MHz	24.97264 Mbit/s	  +539099.0 		0 		22322 		+331536.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +612858.0 		0 		22322 		+354252.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +541114.0 		0 		22322 		+333576.0
Sta 2 -> 4 	   40 MHz	24.99056 Mbit/s	  +612398.0 		0 		22322 		+354819.0
Sta 1 -> 4 	   40 MHz	24.9984 Mbit/s	  +539536.0 		0 		22322 		+331305.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +623871.0 		0 		22322 		+353715.0
Sta 1 -> 4 	   40 MHz	24.98944 Mbit/s	  +539182.0 		0 		22322 		+332676.0
Sta 2 -> 4 	   40 MHz	24.97488 Mbit/s	  +612609.0 		0 		22322 		+355079.0
Sta 1 -> 4 	   40 MHz	24.99728 Mbit/s	  +535928.0 		0 		22322 		+332038.0
Sta 2 -> 4 	   40 MHz	24.98496 Mbit/s	  +603383.0 		0 		22322 		+352715.0
Sta 1 -> 4 	   40 MHz	24.98496 Mbit/s	  +539601.0 		0 		22322 		+332907.0
Sta 2 -> 4 	   40 MHz	25.00064 Mbit/s	  +607274.0 		0 		22322 		+354077.0
Sta 1 -> 4 	   40 MHz	24.99952 Mbit/s	  +539191.0 		0 		22322 		+332148.0
Sta 2 -> 4 	   40 MHz	24.97824 Mbit/s	  +616412.0 		0 		22322 		+354943.0
Sta 1 -> 4 	   40 MHz	24.9704 Mbit/s	  +538357.0 		0 		22322 		+331745.0
Sta 2 -> 4 	   40 MHz	24.99392 Mbit/s	  +604143.0 		0 		22322 		+352267.0
Sta 1 -> 4 	   40 MHz	24.97488 Mbit/s	  +11098666.0 		0 		22322 		+357327.0
Sta 2 -> 4 	   40 MHz	24.96928 Mbit/s	  +614703.0 		0 		22322 		+354401.0
