------------------------------------------------------------
Server listening on UDP port 50
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 50 connected with 10.0.0.2 port 46059
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 57.0-58.0 sec   118 KBytes   964 Kbits/sec  16.577 ms  111/  193 (58%)
[  3] 58.0-59.0 sec   116 KBytes   953 Kbits/sec  10.955 ms  146/  227 (64%)
[  3] 58.0-59.0 sec  2 datagrams received out-of-order
[  3] 59.0-60.0 sec   161 KBytes  1.32 Mbits/sec   5.528 ms  101/  213 (47%)
[  3] 60.0-61.0 sec   156 KBytes  1.28 Mbits/sec   6.097 ms  101/  210 (48%)
[  3] 60.0-61.0 sec  1 datagrams received out-of-order
[  3] 61.0-62.0 sec   159 KBytes  1.31 Mbits/sec   6.705 ms  105/  216 (49%)
[  3] 62.0-63.0 sec   161 KBytes  1.32 Mbits/sec   7.493 ms  103/  215 (48%)
[  3] 63.0-64.0 sec   131 KBytes  1.07 Mbits/sec   3.416 ms  111/  202 (55%)
[  3] 64.0-65.0 sec  86.1 KBytes   706 Kbits/sec   4.418 ms  152/  212 (72%)
[  3] 65.0-66.0 sec  91.9 KBytes   753 Kbits/sec   9.010 ms  150/  214 (70%)
[  3] 66.0-67.0 sec  84.7 KBytes   694 Kbits/sec   3.562 ms  151/  210 (72%)
[  3] 67.0-68.0 sec  91.9 KBytes   753 Kbits/sec   4.703 ms  150/  214 (70%)
[  3] 68.0-69.0 sec  89.0 KBytes   729 Kbits/sec   2.801 ms  153/  215 (71%)
[  3] 69.0-70.0 sec  89.0 KBytes   729 Kbits/sec   3.521 ms  148/  210 (70%)
[  3] 70.0-71.0 sec  90.4 KBytes   741 Kbits/sec   2.896 ms  151/  214 (71%)
[  3] 71.0-72.0 sec   115 KBytes   941 Kbits/sec   8.126 ms  131/  211 (62%)
[  3] 72.0-73.0 sec   106 KBytes   870 Kbits/sec   6.837 ms  141/  215 (66%)
[  3] 73.0-74.0 sec  91.9 KBytes   753 Kbits/sec   6.456 ms  147/  211 (70%)
[  3] 74.0-75.0 sec   106 KBytes   870 Kbits/sec   8.076 ms  140/  214 (65%)
[  3] 75.0-76.0 sec  93.3 KBytes   764 Kbits/sec   3.947 ms  145/  210 (69%)
[  3] 76.0-77.0 sec  89.0 KBytes   729 Kbits/sec   4.193 ms  153/  215 (71%)
[  3] 77.0-78.0 sec   123 KBytes  1.01 Mbits/sec   4.958 ms  124/  210 (59%)
[  3] 78.0-79.0 sec   121 KBytes   988 Kbits/sec   6.101 ms  131/  215 (61%)
[  3] 79.0-80.0 sec  91.9 KBytes   753 Kbits/sec   9.829 ms  147/  211 (70%)
[  3] 80.0-81.0 sec  87.6 KBytes   717 Kbits/sec   2.396 ms  153/  214 (71%)
[  3] 81.0-82.0 sec  93.3 KBytes   764 Kbits/sec   5.888 ms  146/  211 (69%)
[  3] 82.0-83.0 sec  86.1 KBytes   706 Kbits/sec   2.771 ms  154/  214 (72%)
[  3] 83.0-84.0 sec  54.6 KBytes   447 Kbits/sec  18.783 ms  174/  212 (82%)
[  3] 84.0-85.0 sec   105 KBytes   858 Kbits/sec   7.886 ms  141/  214 (66%)
[  3] 85.0-86.0 sec   106 KBytes   870 Kbits/sec   6.446 ms  137/  211 (65%)
[  3] 86.0-87.0 sec  94.7 KBytes   776 Kbits/sec   4.248 ms  148/  214 (69%)
[  3] 87.0-88.0 sec  93.3 KBytes   764 Kbits/sec   6.911 ms  146/  211 (69%)
[  3] 88.0-89.0 sec  86.1 KBytes   706 Kbits/sec   3.892 ms  154/  214 (72%)
[  3] 89.0-90.0 sec   113 KBytes   929 Kbits/sec   3.925 ms  132/  211 (63%)
[  3] 90.0-91.0 sec  90.4 KBytes   741 Kbits/sec   2.959 ms  151/  214 (71%)
[  3] 91.0-92.0 sec  86.1 KBytes   706 Kbits/sec   2.531 ms  151/  211 (72%)
[  3] 92.0-93.0 sec   105 KBytes   858 Kbits/sec   5.273 ms  141/  214 (66%)
[  3] 93.0-94.0 sec   121 KBytes   988 Kbits/sec   4.126 ms  130/  214 (61%)
[  3] 94.0-95.0 sec   116 KBytes   953 Kbits/sec   3.283 ms  130/  211 (62%)
[  3] 95.0-96.0 sec  90.4 KBytes   741 Kbits/sec   5.450 ms  148/  211 (70%)
[  3] 96.0-97.0 sec  89.0 KBytes   729 Kbits/sec   2.397 ms  152/  214 (71%)
[  3] 97.0-98.0 sec  89.0 KBytes   729 Kbits/sec   5.436 ms  149/  211 (71%)
[  3] 98.0-99.0 sec  90.4 KBytes   741 Kbits/sec   2.943 ms  151/  214 (71%)
[  3] 99.0-100.0 sec   111 KBytes   906 Kbits/sec   7.447 ms  134/  211 (64%)
[  3]  0.0-100.2 sec  13.7 MBytes  1.15 Mbits/sec  19.539 ms 11468/21259 (54%)
[  3]  0.0-100.2 sec  5 datagrams received out-of-order
